acousticness,energy,loudness,Class
0.0011,0.814,-7.23,10
0.486,0.614,-8.334,6
0.000169,0.975,-4.279,10
0.00353,0.977,0.878,6
0.404,0.658,-9.647,2
0.175,0.415,-9.915,4
2.21e-05,0.776,-5.403,8
0.957,0.563,-8.588,3
0.949,0.374,-12.069,7
0.406,0.519,-10.164,10
0.564,0.852,-6.522,2
0.11,0.939,-3.609,9
0.00233,0.801,-4.73,10
0.502,0.458,-5.935,9
0.0181,0.411,-8.071,6
0.16,0.441,-9.83,1
0.0602,0.448,-9.452,5
9.43e-06,0.947,-6.128,10
0.00456,0.517,-13.222,9
0.226,0.47,-10.144,1
0.379,0.726,-6.514,8
0.00103,0.661,-5.996,6
0.000153,0.974,-3.647,8
0.0279,0.948,-3.994,1
0.365,0.751,-12.826,2
1.6e-05,0.977,-6.489,8
0.000372,0.657,-6.873,10
0.0401,0.831,-5.053,10
0.0532,0.546,-9.357,6
0.0286,0.528,-9.103,10
0.984,0.0634,-19.203,7
0.000517,0.642,-7.546,10
0.00253,0.86,-9.175,1
0.563,0.532,-11.492,9
0.608,0.474,-13.893,10
0.000632,0.865,-10.522,6
0.0208,0.685,-6.577,2
0.0792,0.403,-9.343,10
0.668,0.707,-9.566,3
0.00407,0.795,-9.424,6
0.0219,0.532,-4.775,5
0.0355,0.685,-7.573,1
2.01e-05,0.88,-3.057,10
0.0987,0.578,-8.522,10
0.0035,0.944,-7.981,6
0.303,0.847,-6.52,10
2.38e-05,0.889,-6.462,8
0.143,0.383,-15.474,10
0.000243,0.91,-4.867,10
0.000546,0.974,-4.295,8
0.885,0.194,-14.543,2
0.103,0.76,-12.437,10
0.883,0.438,-13.451,2
0.256,0.463,-11.377,9
0.0532,0.411,-6.06,5
0.0227,0.595,-13.696,2
0.00111,0.891,-5.147,10
0.175,0.432,-11.753,10
0.625,0.504,-13.581,6
1.39e-05,0.916,-3.281,1
0.423,0.668,-8.512,9
0.784,0.526,-11.819,10
0.00694,0.919,-6.174,6
0.00363,0.932,-6.252,8
0.00512,0.753,-5.223,10
0.000409,0.928,-5.628,6
0.00159,0.967,-4.555,6
0.771,0.294,-11.938,9
0.239,0.329,-16.642,0
0.0675,0.661,-4.011,10
8.44e-05,0.619,-11.501,10
4.62e-05,0.854,-8.261,8
0.181,0.551,-9.898,10
0.678,0.754,-11.636,3
0.759,0.215,-12.8,1
0.18,0.859,-3.923,10
0.000895,0.676,-11.931,8
0.71,0.233,-18.251,6
0.406,0.387,-10.159,10
0.00212,0.715,-6.533,10
0.665,0.245,-10.908,2
0.0751,0.399,-8.984,1
4.63e-05,0.951,-5.192,8
0.0518,0.776,-11.756,6
0.742,0.375,-11.889,1
0.273,0.835,-6.711,9
0.0289,0.797,-5.464,10
0.000843,0.858,-6.935,8
0.98,0.162,-12.932,7
0.904,0.26,-11.64,2
0.00876,0.905,-5.27,10
0.116,0.747,-6.064,10
7.47e-05,0.975,-4.974,8
0.701,0.375,-11.8,9
0.771,0.347,-14.7,3
0.000442,0.935,-5.153,10
0.841,0.336,-8.034,0
3.33e-05,0.876,-4.902,1
0.0833,0.781,-4.732,9
0.000329,0.535,-9.715,8
0.000316,0.602,-7.796,6
0.183,0.92,-4.484,1
0.0257,0.636,-13.617,5
0.12,0.932,-4.701,10
5.33e-06,0.958,-6.602,6
0.00678,0.709,-6.557,10
0.0278,0.6,-10.615,10
0.172,0.969,-2.694,10
0.68,0.707,-6.208,6
0.000833,0.939,-4.04,8
0.723,0.336,-11.111,6
0.378,0.728,-10.469,0
0.000119,0.495,-11.503,2
0.000127,0.843,-8.369,1
0.743,0.64,-7.949,1
0.000152,0.964,-7.925,8
0.00028,0.831,-9.069,10
0.0904,0.631,-3.818,9
0.295,0.761,-8.285,10
0.0131,0.535,-6.785,9
0.447,0.337,-13.14,5
0.00106,0.41,-14.35,10
0.00316,0.964,-4.261,9
0.0106,0.914,-6.741,10
0.00303,0.881,-5.231,10
0.0186,0.795,-9.793,9
0.864,0.494,-8.13,9
0.937,0.191,-20.924,1
0.278,0.63,-6.787,2
0.00012,0.844,-4.448,10
0.000111,0.927,-5.385,8
0.0966,0.755,-7.246,10
0.0361,0.958,-7.765,8
2.22e-05,0.925,-6.246,8
0.298,0.772,-6.679,10
0.000617,0.826,-3.938,10
0.00853,0.732,-5.089,4
0.104,0.769,-5.841,10
0.282,0.962,-6.469,6
0.576,0.544,-11.393,10
0.104,0.614,-7.497,4
0.00011,0.754,-6.326,10
9.09e-05,0.983,-3.69,10
0.0139,0.915,-5.259,10
0.113,0.682,-9.044,9
0.0521,0.616,-9.267,10
0.000218,0.604,-5.703,10
0.964,0.158,-16.835,7
0.012,0.648,-7.604,1
0.35,0.547,-8.488,9
0.000125,0.811,-3.956,6
0.348,0.603,-9.907,10
0.65,0.565,-8.667,0
0.348,0.51,-8.276,6
0.751,0.304,-14.271,0
6.48e-05,0.717,-5.857,9
0.0849,0.877,-4.172,6
0.885,0.335,-13.903,7
0.000119,0.969,-3.778,8
0.0765,0.907,-3.854,5
0.0418,0.913,-2.437,6
2.05e-05,0.994,-2.236,8
0.00782,0.449,-11.428,6
0.612,0.48,-5.835,9
2.59e-05,0.956,-6.388,10
0.00705,0.776,-5.272,9
0.816,0.649,-7.709,5
0.706,0.563,-6.975,2
0.161,0.466,-7.514,10
0.422,0.563,-9.765,6
0.292,0.861,-10.581,6
2.78e-05,0.948,-3.496,10
0.657,0.34,-14.377,10
2e-05,0.954,-4.097,10
4.76e-06,0.765,-8.684,10
0.00439,0.916,-6.899,8
4.26e-06,0.977,-4.172,8
0.161,0.325,-14.01,1
0.993,0.118,-14.222,2
0.263,0.727,-7.951,10
0.701,0.351,-8.279,1
0.554,0.569,-13.422,9
0.000652,0.947,-4.671,10
0.241,0.537,-9.303,2
0.269,0.6,-7.348,6
0.0136,0.807,-3.959,10
0.822,0.486,-9.726,6
0.0029,0.823,-4.851,1
0.432,0.532,-9.119,10
0.883,0.0582,-19.131,7
0.00219,0.659,-6.642,0
0.000254,0.925,-4.633,8
0.131,0.631,-6.018,9
0.00741,0.819,-4.78,5
0.625,0.54,-7.196,1
0.14,0.949,-3.498,1
0.0796,0.577,-12.175,10
0.872,0.567,-7.705,3
0.0554,0.823,-6.237,1
0.00843,0.657,-10.419,6
0.324,0.754,-3.887,10
0.0321,0.659,-12.146,10
0.168,0.832,-7.264,10
0.13,0.913,-5.942,8
0.0016,0.761,-6.449,5
2.46e-05,0.958,-5.251,8
0.47,0.722,-5.852,1
0.985,0.059,-18.992,7
0.0887,0.696,-6.537,10
0.00417,0.717,-6.869,10
0.792,0.762,-9.581,10
0.0193,0.703,-5.978,6
0.00661,0.552,-5.987,1
0.000289,0.991,-4.028,8
0.00224,0.687,-6.233,6
0.0311,0.804,-11.786,10
0.326,0.878,-7.903,6
3.07e-05,0.975,-4.956,8
0.188,0.773,-7.998,9
8.85e-06,0.948,-4.609,1
2.49e-05,0.862,-4.835,10
4.76e-06,0.765,-8.684,6
0.995,0.223,-8.974,9
0.964,0.204,-17.527,7
0.176,0.51,-10.133,1
0.766,0.271,-17.293,10
0.159,0.606,-7.047,4
0.00172,0.815,-4.758,10
0.0998,0.749,-6.129,5
0.043,0.667,-9.305,10
0.0687,0.657,-10.579,6
0.00405,0.668,-6.261,6
0.0271,0.746,-8.288,10
0.0175,0.852,-5.607,10
0.257,0.488,-6.402,6
0.346,0.821,-4.933,3
0.000662,0.948,-7.754,8
0.213,0.622,-8.258,10
0.853,0.299,-6.649,9
0.994,0.285,-12.101,2
0.139,0.674,-8.193,6
0.0114,0.861,-7.384,6
0.93,0.154,-18.072,7
0.000126,0.94,-7.052,6
0.00677,0.798,-5.405,10
0.0052,0.938,-4.643,1
0.194,0.784,-5.603,9
0.000595,0.805,-6.437,10
0.739,0.547,-7.63,0
0.114,0.583,-5.948,6
0.00194,0.854,-9.799,10
0.96,0.208,-15.944,6
0.00189,0.599,-11.966,1
0.00361,0.796,-10.845,10
0.734,0.522,-6.796,5
0.137,0.601,-13.379,4
0.147,0.494,-12.029,5
0.000207,0.777,-7.853,10
0.216,0.387,-11.79,2
0.00149,0.692,-7.271,6
0.139,0.632,-8.875,9
0.044,0.528,-10.051,6
0.475,0.699,-6.101,6
0.459,0.839,-7.39,10
0.43,0.439,-10.507,8
0.0945,0.663,-9.068,6
0.176,0.666,-7.902,9
0.00784,0.666,-6.951,6
0.0957,0.5,-9.615,9
0.964,0.117,-21.35,1
0.328,0.338,-10.084,6
0.142,0.7,-6.852,10
0.00555,0.901,-5.197,8
0.000417,0.875,-4.845,10
0.0386,0.636,-6.387,6
0.874,0.264,-10.625,0
0.854,0.559,-10.49,10
0.0018,0.872,-4.91,8
0.0679,0.767,-4.544,5
0.0852,0.543,-7.154,6
0.00708,0.792,-7.31,1
0.908,0.446,-10.887,3
0.27,0.811,-5.483,2
4.82e-06,0.933,-4.574,8
0.37,0.648,-7.426,6
0.000483,0.77,-7.477,8
0.0169,0.759,-4.926,9
0.198,0.923,-12.239,10
0.000733,0.938,-5.726,6
0.974,0.504,-13.495,0
0.0245,0.632,-6.958,10
0.0973,0.574,-7.969,9
0.0412,0.704,-6.062,6
0.128,0.86,-5.041,10
0.000146,0.736,-6.901,10
0.0014,0.885,-6.98,10
0.877,0.364,-10.723,0
5.37e-05,0.85,-7.51,10
0.0862,0.849,-4.261,2
0.685,0.428,-7.93,1
0.00883,0.749,-10.759,10
0.000141,0.921,-4.881,6
5.07e-05,0.669,-3.398,10
0.0296,0.654,-6.454,10
0.2,0.878,-4.932,6
0.0281,0.96,-6.235,1
0.183,0.429,-11.706,6
0.0129,0.62,-3.339,10
