Artist Name,Track Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
789,3459,54.0,0.382,0.814,3.0,-7.23,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,251733.0,4,10
5786,5528,35.0,0.434,0.614,6.0,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109667.0,4,6
4597,5539,53.0,0.167,0.975,2.0,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,229960.0,4,10
5834,6699,53.0,0.235,0.977,6.0,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208133.0,4,6
5158,5546,48.0,0.674,0.658,5.0,-9.647,0,0.104,0.404,1.34e-06,0.0981,0.677,143.292,329387.0,4,2
4562,5699,55.0,0.657,0.415,5.0,-9.915,1,0.025,0.175,5.65e-06,0.132,0.347,96.03,3.105783333,4,4
4457,7016,29.0,0.431,0.776,10.0,-5.403,1,0.0527,2.21e-05,0.0013,0.179,0.318,120.857,237867.0,4,8
3794,5064,11.0,0.491,0.563,7.0,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,4.33045,4,3
2306,3565,34.0,0.462,0.374,11.0,-12.069,0,0.0331,0.949,0.929,0.131,0.174,122.939,4.44025,3,7
866,2744,76.0,0.653,0.519,2.0,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693.0,4,10
1720,4889,37.0,0.431,0.852,2.0,-6.522,1,0.0431,0.564,0.208,0.254,0.794,67.601,146800.0,4,2
1597,9884,14.0,0.713,0.939,5.0,-3.609,0,0.0372,0.11,5.88e-06,0.331,0.88,108.034,179320.0,4,9
6174,2222,31.0,0.564,0.801,1.0,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,154293.0,4,10
1658,9961,29.0,0.57,0.458,9.0,-5.935,0,0.0236,0.502,2.35e-06,0.134,0.19,93.088,217529.0,4,9
3888,7653,48.0,0.347,0.411,6.0,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.991,283013.0,4,6
