Date,Year,Month,Customer Age,Customer Gender,Country,State,Product Category,Sub Category,Quantity,Unit Cost,Unit Price,Cost,Revenue
15,2016,4,40,1,0,28,1,11,3,567,790,1701,2370
15,2016,4,40,1,0,28,0,7,2,192.5,199,385,398
24,2016,4,40,1,0,28,1,10,2,1160,1511.5,2320,3023
24,2016,4,40,1,0,28,0,2,2,115,147,230,294
24,2016,4,40,1,0,28,0,2,1,140,167,140,167
24,2016,4,40,1,0,28,0,7,2,472.5,436.5,945,873
27,2016,4,40,1,0,28,1,10,1,2295,2741,2295,2741
27,2016,4,40,1,0,28,0,7,3,291.67,416.333333,875,1249
70,2016,3,40,1,0,28,1,14,1,2384,2776,2384,2776
111,2016,7,40,1,0,28,1,11,2,850.5,965.5,1701,1931
111,2016,7,40,1,0,28,0,7,3,338.33,483.333333,1015,1450
184,2016,8,40,1,0,28,1,14,1,742,668,742,668
184,2016,8,40,1,0,28,0,2,2,18,20.5,36,41
184,2016,8,40,1,0,28,0,2,1,50,68,50,68
184,2016,8,40,1,0,28,2,6,2,330.5,468,661,936
204,2016,6,40,1,0,28,1,14,3,794.67,983,2384,2949
204,2016,6,40,1,0,28,0,7,2,280,306,560,612
80,2015,7,40,1,0,28,1,11,1,2443,2499,2443,2499
101,2015,7,40,1,0,28,1,10,1,2049,2271,2049,2271
110,2015,7,40,1,0,28,1,11,2,1091,827.5,2182,1655
257,2015,5,40,1,0,28,1,10,2,1160,799.5,2320,1599
410,2015,9,40,1,0,28,1,10,1,565,692,565,692
410,2015,9,40,1,0,28,0,2,3,26.67,32.333333,80,97
421,2015,2,40,1,0,28,1,11,2,270,184,540,368
26,2016,4,40,0,2,5,1,11,3,180,189,540,567
26,2016,4,40,0,2,5,0,7,3,81.67,94.333333,245,283
30,2016,4,40,0,2,5,1,14,1,2384,2425,2384,2425
43,2016,3,40,0,2,5,1,10,1,2295,2296,2295,2296
43,2016,3,40,0,2,5,0,7,3,256.67,341,770,1023
133,2016,0,40,0,2,5,1,10,1,2320,2308,2320,2308
133,2016,0,40,0,2,5,0,7,2,70,90.5,140,181
150,2016,0,40,0,2,5,1,14,3,794.67,758.333333,2384,2275
150,2016,0,40,0,2,5,0,7,2,525,685,1050,1370
151,2016,0,40,0,2,5,1,10,3,765,834.666667,2295,2504
203,2016,6,40,0,2,5,1,10,2,1160,1234,2320,2468
214,2016,6,40,0,2,5,1,14,2,1192,1250.5,2384,2501
214,2016,6,40,0,2,5,0,7,1,945,1232,945,1232
218,2016,6,40,0,2,5,1,14,1,2384,2446,2384,2446
291,2016,5,40,0,2,5,0,7,2,262.5,327,525,654
206,2015,6,40,0,2,5,1,11,2,1091,961,2182,1922
220,2015,6,40,0,2,5,1,10,1,2049,1892,2049,1892
227,2015,6,40,0,2,5,1,11,1,2443,2314,2443,2314
